_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 2000-2001              
   i   j     lon     lat    array(i,j)
  67  46  -47.00    1.00        0.0506
  68  46  -45.00    1.00        0.0385
  69  46  -43.00    1.00        0.0428
  70  46  -41.00    1.00        0.0660
  71  46  -39.00    1.00        0.0998
  72  46  -37.00    1.00        0.1440
  73  46  -35.00    1.00        0.2123
  74  46  -33.00    1.00        0.2854
  75  46  -31.00    1.00        0.3639
  76  46  -29.00    1.00        0.4428
  77  46  -27.00    1.00        0.5231
  78  46  -25.00    1.00        0.5967
  79  46  -23.00    1.00        0.6552
  80  46  -21.00    1.00        0.6998
  81  46  -19.00    1.00        0.7328
  82  46  -17.00    1.00        0.7503
  83  46  -15.00    1.00        0.7511
  84  46  -13.00    1.00        0.7407
  85  46  -11.00    1.00        0.7220
  86  46   -9.00    1.00        0.7300
  87  46   -7.00    1.00        0.7701
  88  46   -5.00    1.00        0.8217
  89  46   -3.00    1.00        0.8672
  90  46   -1.00    1.00        0.9062
  91  46    1.00    1.00        0.9381
  92  46    3.00    1.00        0.9466
  93  46    5.00    1.00        0.9479
  94  46    7.00    1.00        1.0206
  95  46    9.00    1.00        1.0859
  96  46   11.00    1.00        1.1033
  97  46   13.00    1.00        1.0811
  98  46   15.00    1.00        1.0302
  99  46   17.00    1.00        0.9859
 100  46   19.00    1.00        0.9429
 101  46   21.00    1.00        0.8800
 102  46   23.00    1.00        0.8414
 103  46   25.00    1.00        0.9905
 104  46   27.00    1.00        1.0665
 105  46   29.00    1.00        1.0272
 106  46   31.00    1.00        0.9880
 107  46   33.00    1.00        0.9666
 108  46   35.00    1.00        0.9475
 109  46   37.00    1.00        0.9047
 110  46   39.00    1.00        0.8814
 111  46   41.00    1.00        0.8577
 112  46   43.00    1.00        0.8349
 113  46   45.00    1.00        0.7006
 114  46   47.00    1.00        0.5615
 115  46   49.00    1.00        0.5354
 116  46   51.00    1.00        0.5315
 117  46   53.00    1.00        0.5469
 118  46   55.00    1.00        0.5590
 119  46   57.00    1.00        0.5459
 120  46   59.00    1.00        0.5237
 121  46   61.00    1.00        0.5121
 122  46   63.00    1.00        0.5096
 123  46   65.00    1.00        0.5050
 124  46   67.00    1.00        0.4948
 125  46   69.00    1.00        0.4875
 126  46   71.00    1.00        0.4778
 127  46   73.00    1.00        0.4691
 128  46   75.00    1.00        0.4726
 129  46   77.00    1.00        0.4770
 130  46   79.00    1.00        0.4714
 131  46   81.00    1.00        0.4502
 132  46   83.00    1.00        0.4221
 133  46   85.00    1.00        0.3988
 134  46   87.00    1.00        0.3814
 135  46   89.00    1.00        0.3583
 136  46   91.00    1.00        0.3041
 137  46   93.00    1.00        0.2419
 138  46   95.00    1.00        0.1785
 139  46   97.00    1.00        0.6928
 140  46   99.00    1.00        1.0131
 141  46  101.00    1.00        0.6937
 142  46  103.00    1.00        0.3687
 143  46  105.00    1.00        0.8888
 144  46  107.00    1.00        0.1475
 145  46  109.00    1.00        0.8894
 146  46  111.00    1.00        0.8257
 147  46  113.00    1.00        0.7537
 148  46  115.00    1.00        0.6938
 149  46  117.00    1.00        0.6571
 150  46  119.00    1.00        0.6335
 151  46  121.00    1.00        0.6067
 152  46  123.00    1.00        0.5721
 153  46  125.00    1.00        0.5295
 154  46  127.00    1.00        0.4843
 155  46  129.00    1.00       -0.1793
 156  46  131.00    1.00       -0.2410
 157  46  133.00    1.00       -0.2041
 158  46  135.00    1.00       -0.1640
 159  46  137.00    1.00       -0.1291
 160  46  139.00    1.00       -0.1125
 161  46  141.00    1.00       -0.1120
 162  46  143.00    1.00       -0.0957
 163  46  145.00    1.00       -0.0438
 164  46  147.00    1.00        0.0309
 165  46  149.00    1.00        0.1146
 166  46  151.00    1.00        0.2015
 167  46  153.00    1.00        0.3101
 168  46  155.00    1.00        0.4285
 169  46  157.00    1.00        0.5396
 170  46  159.00    1.00        0.6523
 171  46  161.00    1.00        0.7644
 172  46  163.00    1.00        0.8771
 173  46  165.00    1.00        1.0116
 174  46  167.00    1.00        1.1719
 175  46  169.00    1.00        1.3056
 176  46  171.00    1.00        1.0585
 177  46  173.00    1.00        1.0280
 178  46  175.00    1.00        1.4806
 179  46  177.00    1.00        1.5019
 180  46  179.00    1.00        1.5475
   1  47 -179.00    3.00        1.3683
   2  47 -177.00    3.00        1.3983
   3  47 -175.00    3.00        1.4134
   4  47 -173.00    3.00        1.4156
   5  47 -171.00    3.00        1.4166
   6  47 -169.00    3.00        1.4273
   7  47 -167.00    3.00        1.4466
   8  47 -165.00    3.00        1.4603
   9  47 -163.00    3.00        1.4606
  10  47 -161.00    3.00        1.4415
  11  47 -159.00    3.00        1.4118
  12  47 -157.00    3.00        1.3789
  13  47 -155.00    3.00        1.3498
  14  47 -153.00    3.00        1.3313
  15  47 -151.00    3.00        1.3195
  16  47 -149.00    3.00        1.3063
  17  47 -147.00    3.00        1.2885
  18  47 -145.00    3.00        1.2727
  19  47 -143.00    3.00        1.2534
  20  47 -141.00    3.00        1.2307
  21  47 -139.00    3.00        1.2026
  22  47 -137.00    3.00        1.1617
  23  47 -135.00    3.00        1.1056
  24  47 -133.00    3.00        1.0477
  25  47 -131.00    3.00        0.9980
  26  47 -129.00    3.00        0.9485
  27  47 -127.00    3.00        0.9012
  28  47 -125.00    3.00        0.8463
  29  47 -123.00    3.00        0.7918
  30  47 -121.00    3.00        0.7384
  31  47 -119.00    3.00        0.6937
  32  47 -117.00    3.00        0.6527
  33  47 -115.00    3.00        0.6173
  34  47 -113.00    3.00        0.5958
  35  47 -111.00    3.00        0.5945
  36  47 -109.00    3.00        0.6166
  37  47 -107.00    3.00        0.6352
  38  47 -105.00    3.00        0.6395
  39  47 -103.00    3.00        0.6605
  40  47 -101.00    3.00        0.6898
  41  47  -99.00    3.00        0.7100
  42  47  -97.00    3.00        0.7088
  43  47  -95.00    3.00        0.6856
  44  47  -93.00    3.00        0.6521
  45  47  -91.00    3.00        0.6256
  46  47  -89.00    3.00        0.6336
  47  47  -87.00    3.00        0.6876
  48  47  -85.00    3.00        0.7827
  49  47  -83.00    3.00        0.8923
  50  47  -81.00    3.00        0.9731
  51  47  -79.00    3.00        1.0422
  52  47  -77.00    3.00        1.0951
  53  47  -75.00    3.00        1.0655
  54  47  -73.00    3.00        1.0268
  55  47  -71.00    3.00        0.9707
  56  47  -69.00    3.00        0.8889
  57  47  -67.00    3.00        0.7816
  58  47  -65.00    3.00        0.7104
  59  47  -63.00    3.00        0.7030
  60  47  -61.00    3.00        0.7456
  61  47  -59.00    3.00        0.8052
  62  47  -57.00    3.00        0.8552
  63  47  -55.00    3.00        0.8789
  64  47  -53.00    3.00        0.8870
  65  47  -51.00    3.00        0.8810
  66  47  -49.00    3.00        0.3259
  67  47  -47.00    3.00        0.1196
  68  47  -45.00    3.00        0.0922
  69  47  -43.00    3.00        0.0752
  70  47  -41.00    3.00        0.0727
  71  47  -39.00    3.00        0.0799
  72  47  -37.00    3.00        0.0958
  73  47  -35.00    3.00        0.1359
  74  47  -33.00    3.00        0.1960
  75  47  -31.00    3.00        0.2665
  76  47  -29.00    3.00        0.3375
  77  47  -27.00    3.00        0.4074
  78  47  -25.00    3.00        0.4678
  79  47  -23.00    3.00        0.5113
  80  47  -21.00    3.00        0.5425
  81  47  -19.00    3.00        0.5715
  82  47  -17.00    3.00        0.5966
  83  47  -15.00    3.00        0.6126
  84  47  -13.00    3.00        0.6299
  85  47  -11.00    3.00        0.6392
  86  47   -9.00    3.00        0.6691
  87  47   -7.00    3.00        0.7185
  88  47   -5.00    3.00        0.7660
  89  47   -3.00    3.00        0.8030
  90  47   -1.00    3.00        0.8375
  91  47    1.00    3.00        0.8730
  92  47    3.00    3.00        0.8964
  93  47    5.00    3.00        0.9125
  94  47    7.00    3.00        0.9346
  95  47    9.00    3.00        0.9943
  96  47   11.00    3.00        1.0498
  97  47   13.00    3.00        1.0475
  98  47   15.00    3.00        1.0018
  99  47   17.00    3.00        0.9585
 100  47   19.00    3.00        0.9086
 101  47   21.00    3.00        0.8554
 102  47   23.00    3.00        0.8004
 103  47   25.00    3.00        0.8418
 104  47   27.00    3.00        0.8847
 105  47   29.00    3.00        0.8801
 106  47   31.00    3.00        0.8594
 107  47   33.00    3.00        0.8618
 108  47   35.00    3.00        0.8525
 109  47   37.00    3.00        0.8342
 110  47   39.00    3.00        0.8104
 111  47   41.00    3.00        0.7858
 112  47   43.00    3.00        0.7638
 113  47   45.00    3.00        0.7176
 114  47   47.00    3.00        0.6545
 115  47   49.00    3.00        0.6155
 116  47   51.00    3.00        0.6273
 117  47   53.00    3.00        0.6323
 118  47   55.00    3.00        0.6169
 119  47   57.00    3.00        0.5869
 120  47   59.00    3.00        0.5570
 121  47   61.00    3.00        0.5416
 122  47   63.00    3.00        0.5361
 123  47   65.00    3.00        0.5320
 124  47   67.00    3.00        0.5285
 125  47   69.00    3.00        0.5319
 126  47   71.00    3.00        0.5384
 127  47   73.00    3.00        0.5571
 128  47   75.00    3.00        0.5469
 129  47   77.00    3.00        0.5470
 130  47   79.00    3.00        0.5306
 131  47   81.00    3.00        0.4891
 132  47   83.00    3.00        0.4415
 133  47   85.00    3.00        0.4098
 134  47   87.00    3.00        0.3931
 135  47   89.00    3.00        0.3774
 136  47   91.00    3.00        0.3407
 137  47   93.00    3.00        0.3016
 138  47   95.00    3.00        0.2653
 139  47   97.00    3.00        0.7088
 140  47   99.00    3.00        0.6845
 141  47  101.00    3.00        0.5635
 142  47  103.00    3.00        0.7492
 143  47  105.00    3.00        0.4757
 144  47  107.00    3.00        0.8080
 145  47  109.00    3.00        0.3387
 146  47  111.00    3.00        0.2645
 147  47  113.00    3.00        0.5934
 148  47  115.00    3.00        0.6788
 149  47  117.00    3.00        0.6483
 150  47  119.00    3.00        0.4196
 151  47  121.00    3.00        0.0488
 152  47  123.00    3.00        0.0794
 153  47  125.00    3.00        0.5572
 154  47  127.00    3.00       -0.1154
 155  47  129.00    3.00       -0.2180
 156  47  131.00    3.00       -0.2127
 157  47  133.00    3.00       -0.1849
 158  47  135.00    3.00       -0.1495
 159  47  137.00    3.00       -0.1155
 160  47  139.00    3.00       -0.0937
 161  47  141.00    3.00       -0.0786
 162  47  143.00    3.00       -0.0461
 163  47  145.00    3.00        0.0176
 164  47  147.00    3.00        0.0789
 165  47  149.00    3.00        0.1418
 166  47  151.00    3.00        0.2059
 167  47  153.00    3.00        0.2836
 168  47  155.00    3.00        0.3646
 169  47  157.00    3.00        0.4395
 170  47  159.00    3.00        0.5227
 171  47  161.00    3.00        0.6160
 172  47  163.00    3.00        0.7116
 173  47  165.00    3.00        0.8223
 174  47  167.00    3.00        0.9676
 175  47  169.00    3.00        1.0769
 176  47  171.00    3.00        1.1115
 177  47  173.00    3.00        1.1487
 178  47  175.00    3.00        1.2280
 179  47  177.00    3.00        1.2626
 180  47  179.00    3.00        1.3142
   1  48 -179.00    5.00        1.0706
   2  48 -177.00    5.00        1.1072
   3  48 -175.00    5.00        1.1371
   4  48 -173.00    5.00        1.1597
   5  48 -171.00    5.00        1.1795
   6  48 -169.00    5.00        1.2016
   7  48 -167.00    5.00        1.2256
   8  48 -165.00    5.00        1.2439
   9  48 -163.00    5.00        1.2535
  10  48 -161.00    5.00        1.2503
  11  48 -159.00    5.00        1.2392
  12  48 -157.00    5.00        1.2250
  13  48 -155.00    5.00        1.2122
  14  48 -153.00    5.00        1.2076
  15  48 -151.00    5.00        1.2079
  16  48 -149.00    5.00        1.2061
  17  48 -147.00    5.00        1.2009
  18  48 -145.00    5.00        1.1973
  19  48 -143.00    5.00        1.1921
  20  48 -141.00    5.00        1.1861
  21  48 -139.00    5.00        1.1838
  22  48 -137.00    5.00        1.1740
  23  48 -135.00    5.00        1.1468
  24  48 -133.00    5.00        1.1068
  25  48 -131.00    5.00        1.0624
  26  48 -129.00    5.00        1.0140
  27  48 -127.00    5.00        0.9675
  28  48 -125.00    5.00        0.9068
  29  48 -123.00    5.00        0.8431
  30  48 -121.00    5.00        0.7795
  31  48 -119.00    5.00        0.7256
  32  48 -117.00    5.00        0.6756
  33  48 -115.00    5.00        0.6307
  34  48 -113.00    5.00        0.6004
  35  48 -111.00    5.00        0.5931
  36  48 -109.00    5.00        0.6058
  37  48 -107.00    5.00        0.6218
  38  48 -105.00    5.00        0.6380
  39  48 -103.00    5.00        0.6730
  40  48 -101.00    5.00        0.7229
  41  48  -99.00    5.00        0.7683
  42  48  -97.00    5.00        0.7923
  43  48  -95.00    5.00        0.7944
  44  48  -93.00    5.00        0.7925
  45  48  -91.00    5.00        0.8045
  46  48  -89.00    5.00        0.8318
  47  48  -87.00    5.00        0.8531
  48  48  -85.00    5.00        0.8793
  49  48  -83.00    5.00        0.9120
  50  48  -81.00    5.00        0.9326
  51  48  -79.00    5.00        0.9427
  52  48  -77.00    5.00        0.9879
  53  48  -75.00    5.00        1.0951
  54  48  -73.00    5.00        1.0543
  55  48  -71.00    5.00        0.9935
  56  48  -69.00    5.00        0.9165
  57  48  -67.00    5.00        0.8144
  58  48  -65.00    5.00        0.7289
  59  48  -63.00    5.00        0.6993
  60  48  -61.00    5.00        0.7267
  61  48  -59.00    5.00        0.7874
  62  48  -57.00    5.00        0.8567
  63  48  -55.00    5.00        0.9029
  64  48  -53.00    5.00        0.9230
  65  48  -51.00    5.00        0.4965
  66  48  -49.00    5.00        0.2692
  67  48  -47.00    5.00        0.2001
  68  48  -45.00    5.00        0.1732
  69  48  -43.00    5.00        0.1412
  70  48  -41.00    5.00        0.1112
  71  48  -39.00    5.00        0.0848
  72  48  -37.00    5.00        0.0707
  73  48  -35.00    5.00        0.0764
  74  48  -33.00    5.00        0.1088
  75  48  -31.00    5.00        0.1517
  76  48  -29.00    5.00        0.1931
  77  48  -27.00    5.00        0.2291
  78  48  -25.00    5.00        0.2566
  79  48  -23.00    5.00        0.2776
  80  48  -21.00    5.00        0.3029
  81  48  -19.00    5.00        0.3412
  82  48  -17.00    5.00        0.3941
  83  48  -15.00    5.00        0.4404
  84  48  -13.00    5.00        0.4891
  85  48  -11.00    5.00        0.5871
  86  48   -9.00    5.00        0.6540
  87  48   -7.00    5.00        0.6710
  88  48   -5.00    5.00        0.6712
  89  48   -3.00    5.00        0.6849
  90  48   -1.00    5.00        0.7940
  91  48    1.00    5.00        0.6901
  92  48    3.00    5.00        0.8380
  93  48    5.00    5.00        0.8208
  94  48    7.00    5.00        0.8546
  95  48    9.00    5.00        0.9252
  96  48   11.00    5.00        0.9869
  97  48   13.00    5.00        1.0081
  98  48   15.00    5.00        0.9688
  99  48   17.00    5.00        0.9132
 100  48   19.00    5.00        0.8529
 101  48   21.00    5.00        0.7916
 102  48   23.00    5.00        0.7448
 103  48   25.00    5.00        0.7287
 104  48   27.00    5.00        0.7263
 105  48   29.00    5.00        0.7265
 106  48   31.00    5.00        0.7283
 107  48   33.00    5.00        0.7297
 108  48   35.00    5.00        0.7220
 109  48   37.00    5.00        0.7183
 110  48   39.00    5.00        0.7186
 111  48   41.00    5.00        0.7166
 112  48   43.00    5.00        0.6992
 113  48   45.00    5.00        0.7064
 114  48   47.00    5.00        0.6944
 115  48   49.00    5.00        0.6798
 116  48   51.00    5.00        0.7810
 117  48   53.00    5.00        0.7732
 118  48   55.00    5.00        0.7344
 119  48   57.00    5.00        0.6910
 120  48   59.00    5.00        0.6515
 121  48   61.00    5.00        0.6259
 122  48   63.00    5.00        0.6057
 123  48   65.00    5.00        0.5883
 124  48   67.00    5.00        0.5783
 125  48   69.00    5.00        0.5802
 126  48   71.00    5.00        0.5920
 127  48   73.00    5.00        0.6125
 128  48   75.00    5.00        0.6170
 129  48   77.00    5.00        0.6160
 130  48   79.00    5.00        0.5702
 131  48   81.00    5.00        0.5129
 132  48   83.00    5.00        0.4609
 133  48   85.00    5.00        0.4202
 134  48   87.00    5.00        0.4071
 135  48   89.00    5.00        0.4007
 136  48   91.00    5.00        0.3771
 137  48   93.00    5.00        0.3519
 138  48   95.00    5.00        0.6385
 139  48   97.00    5.00        0.6149
 140  48   99.00    5.00        0.6462
 141  48  101.00    5.00        0.8246
 142  48  103.00    5.00        0.8107
 143  48  105.00    5.00        0.4129
 144  48  107.00    5.00        0.5432
 145  48  109.00    5.00        0.2751
 146  48  111.00    5.00        0.1697
 147  48  113.00    5.00        0.2203
 148  48  115.00    5.00        0.4853
 149  48  117.00    5.00        0.6233
 150  48  119.00    5.00        0.5416
 151  48  121.00    5.00        0.2901
 152  48  123.00    5.00       -0.0093
 153  48  125.00    5.00        0.5917
 154  48  127.00    5.00       -0.2008
 155  48  129.00    5.00       -0.2140
 156  48  131.00    5.00       -0.2025
 157  48  133.00    5.00       -0.1749
 158  48  135.00    5.00       -0.1334
 159  48  137.00    5.00       -0.0912
 160  48  139.00    5.00       -0.0610
 161  48  141.00    5.00       -0.0390
 162  48  143.00    5.00       -0.0069
 163  48  145.00    5.00        0.0381
 164  48  147.00    5.00        0.0865
 165  48  149.00    5.00        0.1305
 166  48  151.00    5.00        0.1786
 167  48  153.00    5.00        0.2405
 168  48  155.00    5.00        0.3022
 169  48  157.00    5.00        0.3515
 170  48  159.00    5.00        0.4011
 171  48  161.00    5.00        0.4597
 172  48  163.00    5.00        0.7090
 173  48  165.00    5.00        0.6272
 174  48  167.00    5.00        0.7190
 175  48  169.00    5.00        0.8073
 176  48  171.00    5.00        0.8751
 177  48  173.00    5.00        0.9158
 178  48  175.00    5.00        0.9339
 179  48  177.00    5.00        0.9689
 180  48  179.00    5.00        1.0164
   1  49 -179.00    7.00        0.8130
   2  49 -177.00    7.00        0.8523
   3  49 -175.00    7.00        0.8929
   4  49 -173.00    7.00        0.9334
   5  49 -171.00    7.00        0.9734
   6  49 -169.00    7.00        1.0099
   7  49 -167.00    7.00        1.0383
   8  49 -165.00    7.00        1.0557
   9  49 -163.00    7.00        1.0610
  10  49 -161.00    7.00        1.0630
  11  49 -159.00    7.00        1.0654
  12  49 -157.00    7.00        1.0677
  13  49 -155.00    7.00        1.0709
  14  49 -153.00    7.00        1.0766
  15  49 -151.00    7.00        1.0811
  16  49 -149.00    7.00        1.0813
  17  49 -147.00    7.00        1.0817
  18  49 -145.00    7.00        1.0883
  19  49 -143.00    7.00        1.0973
  20  49 -141.00    7.00        1.1086
  21  49 -139.00    7.00        1.1273
  22  49 -137.00    7.00        1.1422
  23  49 -135.00    7.00        1.1405
  24  49 -133.00    7.00        1.1179
  25  49 -131.00    7.00        1.0816
  26  49 -129.00    7.00        1.0436
  27  49 -127.00    7.00        1.0066
  28  49 -125.00    7.00        0.9497
  29  49 -123.00    7.00        0.8869
  30  49 -121.00    7.00        0.8257
  31  49 -119.00    7.00        0.7684
  32  49 -117.00    7.00        0.7109
  33  49 -115.00    7.00        0.6566
  34  49 -113.00    7.00        0.6156
  35  49 -111.00    7.00        0.5955
  36  49 -109.00    7.00        0.5918
  37  49 -107.00    7.00        0.5925
  38  49 -105.00    7.00        0.6089
  39  49 -103.00    7.00        0.6463
  40  49 -101.00    7.00        0.7093
  41  49  -99.00    7.00        0.7810
  42  49  -97.00    7.00        0.8370
  43  49  -95.00    7.00        0.8700
  44  49  -93.00    7.00        0.8991
  45  49  -91.00    7.00        0.9374
  46  49  -89.00    7.00        0.9638
  47  49  -87.00    7.00        0.9449
  48  49  -85.00    7.00        0.8995
  49  49  -83.00    7.00        0.8554
  50  49  -81.00    7.00        0.8165
  51  49  -79.00    7.00        0.7837
  52  49  -77.00    7.00        0.8481
  53  49  -75.00    7.00        1.0951
  54  49  -73.00    7.00        1.0583
  55  49  -71.00    7.00        1.0003
  56  49  -69.00    7.00        0.9211
  57  49  -67.00    7.00        0.8178
  58  49  -65.00    7.00        0.7256
  59  49  -63.00    7.00        0.6829
  60  49  -61.00    7.00        0.6966
  61  49  -59.00    7.00        0.6839
  62  49  -57.00    7.00        0.5506
  63  49  -55.00    7.00        0.5681
  64  49  -53.00    7.00        0.5771
  65  49  -51.00    7.00        0.3125
  66  49  -49.00    7.00        0.2800
  67  49  -47.00    7.00        0.2823
  68  49  -45.00    7.00        0.2638
  69  49  -43.00    7.00        0.2236
  70  49  -41.00    7.00        0.1709
  71  49  -39.00    7.00        0.1142
  72  49  -37.00    7.00        0.0685
  73  49  -35.00    7.00        0.0380
  74  49  -33.00    7.00        0.0352
  75  49  -31.00    7.00        0.0396
  76  49  -29.00    7.00        0.0359
  77  49  -27.00    7.00        0.0214
  78  49  -25.00    7.00        0.0053
  79  49  -23.00    7.00        0.0034
  80  49  -21.00    7.00        0.0295
  81  49  -19.00    7.00        0.0870
  82  49  -17.00    7.00        0.1732
  83  49  -15.00    7.00        0.2514
  84  49  -13.00    7.00        0.4204
  85  49  -11.00    7.00        0.5487
  86  49   -9.00    7.00        0.6105
  87  49   -7.00    7.00        0.6238
  88  49   -5.00    7.00        0.6162
  89  49   -3.00    7.00        0.6175
  90  49   -1.00    7.00        0.6830
  91  49    1.00    7.00        0.6160
  92  49    3.00    7.00        0.7184
  93  49    5.00    7.00        0.7335
  94  49    7.00    7.00        0.7887
  95  49    9.00    7.00        0.8562
  96  49   11.00    7.00        0.9168
  97  49   13.00    7.00        0.9545
  98  49   15.00    7.00        0.9288
  99  49   17.00    7.00        0.8708
 100  49   19.00    7.00        0.8008
 101  49   21.00    7.00        0.7437
 102  49   23.00    7.00        0.7028
 103  49   25.00    7.00        0.6610
 104  49   27.00    7.00        0.6371
 105  49   29.00    7.00        0.6347
 106  49   31.00    7.00        0.6374
 107  49   33.00    7.00        0.6284
 108  49   35.00    7.00        0.6164
 109  49   37.00    7.00        0.6131
 110  49   39.00    7.00        0.6157
 111  49   41.00    7.00        0.6144
 112  49   43.00    7.00        0.6242
 113  49   45.00    7.00        0.6826
 114  49   47.00    7.00        0.6764
 115  49   49.00    7.00        0.6664
 116  49   51.00    7.00        0.9251
 117  49   53.00    7.00        0.9044
 118  49   55.00    7.00        0.8627
 119  49   57.00    7.00        0.8158
 120  49   59.00    7.00        0.7680
 121  49   61.00    7.00        0.7295
 122  49   63.00    7.00        0.6905
 123  49   65.00    7.00        0.6521
 124  49   67.00    7.00        0.6237
 125  49   69.00    7.00        0.6121
 126  49   71.00    7.00        0.6215
 127  49   73.00    7.00        0.5672
 128  49   75.00    7.00        0.6500
 129  49   77.00    7.00        0.5981
 130  49   79.00    7.00        0.5525
 131  49   81.00    7.00        0.5249
 132  49   83.00    7.00        0.4808
 133  49   85.00    7.00        0.4268
 134  49   87.00    7.00        0.4215
 135  49   89.00    7.00        0.4270
 136  49   91.00    7.00        0.4155
 137  49   93.00    7.00        0.3941
 138  49   95.00    7.00        0.5723
 139  49   97.00    7.00        0.6601
 140  49   99.00    7.00        0.8110
 141  49  101.00    7.00        0.8252
 142  49  103.00    7.00        0.5706
 143  49  105.00    7.00        0.4053
 144  49  107.00    7.00        0.3850
 145  49  109.00    7.00        0.2859
 146  49  111.00    7.00        0.1634
 147  49  113.00    7.00        0.0684
 148  49  115.00    7.00        0.1812
 149  49  117.00    7.00        0.2488
 150  49  119.00    7.00        0.2258
 151  49  121.00    7.00        0.1333
 152  49  123.00    7.00       -0.0163
 153  49  125.00    7.00        0.6169
 154  49  127.00    7.00        0.2727
 155  49  129.00    7.00       -0.1324
 156  49  131.00    7.00       -0.1796
 157  49  133.00    7.00        0.0515
 158  49  135.00    7.00        0.0594
 159  49  137.00    7.00       -0.0533
 160  49  139.00    7.00       -0.0202
 161  49  141.00    7.00        0.0033
 162  49  143.00    7.00        0.0321
 163  49  145.00    7.00        0.0628
 164  49  147.00    7.00        0.0976
 165  49  149.00    7.00        0.1308
 166  49  151.00    7.00        0.3845
 167  49  153.00    7.00        0.3926
 168  49  155.00    7.00        0.2697
 169  49  157.00    7.00        0.3035
 170  49  159.00    7.00        0.3315
 171  49  161.00    7.00        0.3625
 172  49  163.00    7.00        0.5123
 173  49  165.00    7.00        0.4548
 174  49  167.00    7.00        0.6352
 175  49  169.00    7.00        0.6460
 176  49  171.00    7.00        0.6391
 177  49  173.00    7.00        0.6749
 178  49  175.00    7.00        0.7018
 179  49  177.00    7.00        0.7296
 180  49  179.00    7.00        0.7662
   1  50 -179.00    9.00        0.6742
   2  50 -177.00    9.00        0.7149
   3  50 -175.00    9.00        0.7606
   4  50 -173.00    9.00        0.8103
   5  50 -171.00    9.00        0.8599
   6  50 -169.00    9.00        0.9023
   7  50 -167.00    9.00        0.9324
   8  50 -165.00    9.00        0.9496
   9  50 -163.00    9.00        0.9527
  10  50 -161.00    9.00        0.9530
  11  50 -159.00    9.00        0.9563
  12  50 -157.00    9.00        0.9655
  13  50 -155.00    9.00        0.9791
  14  50 -153.00    9.00        0.9896
  15  50 -151.00    9.00        0.9911
  16  50 -149.00    9.00        0.9861
  17  50 -147.00    9.00        0.9866
  18  50 -145.00    9.00        0.9993
  19  50 -143.00    9.00        1.0179
  20  50 -141.00    9.00        1.0406
  21  50 -139.00    9.00        1.0704
  22  50 -137.00    9.00        1.0978
  23  50 -135.00    9.00        1.1088
  24  50 -133.00    9.00        1.0959
  25  50 -131.00    9.00        1.0674
  26  50 -129.00    9.00        1.0430
  27  50 -127.00    9.00        1.0249
  28  50 -125.00    9.00        0.9842
  29  50 -123.00    9.00        0.9268
  30  50 -121.00    9.00        0.8705
  31  50 -119.00    9.00        0.8137
  32  50 -117.00    9.00        0.7533
  33  50 -115.00    9.00        0.6942
  34  50 -113.00    9.00        0.6453
  35  50 -111.00    9.00        0.6114
  36  50 -109.00    9.00        0.5891
  37  50 -107.00    9.00        0.5689
  38  50 -105.00    9.00        0.5755
  39  50 -103.00    9.00        0.6104
  40  50 -101.00    9.00        0.6777
  41  50  -99.00    9.00        0.7654
  42  50  -97.00    9.00        0.8431
  43  50  -95.00    9.00        0.8944
  44  50  -93.00    9.00        0.9371
  45  50  -91.00    9.00        0.9822
  46  50  -89.00    9.00        1.0037
  47  50  -87.00    9.00        0.9687
  48  50  -85.00    9.00        0.9209
  49  50  -83.00    9.00        0.7902
  50  50  -81.00    9.00        0.6823
  51  50  -79.00    9.00        0.6278
  52  50  -77.00    9.00        0.7203
  53  50  -75.00    9.00        1.0754
  54  50  -73.00    9.00        1.0388
  55  50  -71.00    9.00        0.9789
  56  50  -69.00    9.00        0.8978
  57  50  -67.00    9.00        0.7990
  58  50  -65.00    9.00        0.7150
  59  50  -63.00    9.00        0.6688
  60  50  -61.00    9.00        0.6267
  61  50  -59.00    9.00        0.5153
  62  50  -57.00    9.00        0.3231
  63  50  -55.00    9.00        0.3094
  64  50  -53.00    9.00        0.3071
  65  50  -51.00    9.00        0.3176
  66  50  -49.00    9.00        0.3369
  67  50  -47.00    9.00        0.3518
  68  50  -45.00    9.00        0.3393
  69  50  -43.00    9.00        0.2952
  70  50  -41.00    9.00        0.2301
  71  50  -39.00    9.00        0.1563
  72  50  -37.00    9.00        0.0887
  73  50  -35.00    9.00        0.0273
  74  50  -33.00    9.00       -0.0096
  75  50  -31.00    9.00       -0.0431
  76  50  -29.00    9.00       -0.0903
  77  50  -27.00    9.00       -0.1504
  78  50  -25.00    9.00       -0.2032
  79  50  -23.00    9.00       -0.2234
  80  50  -21.00    9.00       -0.1971
  81  50  -19.00    9.00       -0.1263
  82  50  -17.00    9.00       -0.0205
  83  50  -15.00    9.00        0.1972
  84  50  -13.00    9.00        0.3981
  85  50  -11.00    9.00        0.4989
  86  50   -9.00    9.00        0.5496
  87  50   -7.00    9.00        0.5803
  88  50   -5.00    9.00        0.5916
  89  50   -3.00    9.00        0.5937
  90  50   -1.00    9.00        0.6008
  91  50    1.00    9.00        0.6123
  92  50    3.00    9.00        0.6378
  93  50    5.00    9.00        0.6859
  94  50    7.00    9.00        0.7430
  95  50    9.00    9.00        0.7966
  96  50   11.00    9.00        0.8524
